"RowGene","ColGene","Correlation","PValue"
"RNA_127682","RNA_128173",0.837119883756842,0
"RNA_127682","RNA_128174",0.855751948538673,0
"RNA_127682","RNA_128175",0.890174101827526,0
"RNA_127682","RNA_128176",0.87627115613217,0
"RNA_127682","RNA_128178",0.82078989967271,0
"RNA_127682","RNA_128179",0.875056560656602,0
"RNA_127682","RNA_128180",0.88600484715548,0
"RNA_127682","RNA_128181",0.877805581403234,0
"RNA_127682","RNA_128191",0.890485780643333,0
"RNA_127682","RNA_128192",0.881622209532427,0
"RNA_127682","RNA_128193",0.88501288449716,0
"RNA_127682","RNA_128194",0.87914640652533,0
"RNA_127682","RNA_128195",0.869564195380955,0
"RNA_127682","RNA_128196",0.861861396236544,0
"RNA_127682","RNA_128197",0.859630430672385,0
"RNA_127682","RNA_128198",0.861255701573732,0
"RNA_127682","RNA_128199",0.871966085120886,0
"RNA_127682","RNA_128200",0.885638087218595,0
"RNA_127682","RNA_128219",0.845325954458531,0
"RNA_127682","RNA_128220",0.879524715460529,0
"RNA_127682","RNA_128221",0.884095446489774,0
"RNA_127682","RNA_128222",0.867205317966568,0
"RNA_127682","RNA_128223",0.878141029143677,0
"RNA_127682","RNA_128224",0.892796181618787,0
"RNA_127682","RNA_128225",0.86307504187645,0
"RNA_127682","RNA_128226",0.881388290930799,0
"RNA_127682","RNA_128227",0.880285867724952,0
"RNA_127682","RNA_128228",0.879175807232126,0
"RNA_127682","RNA_128239",0.873375800235153,0
"RNA_127682","RNA_128240",0.882533150951022,0
"RNA_127682","RNA_128241",0.84955839321751,0
"RNA_127682","RNA_128242",0.854957533635848,0
"RNA_127682","RNA_128243",0.852940369931436,0
"RNA_127682","RNA_128244",0.886045106023993,0
"RNA_127682","RNA_128246",0.879306579768775,0
"RNA_127682","RNA_128247",0.86361526028084,0
"RNA_127682","RNA_128248",0.856509584168277,0
"RNA_127682","RNA_128259",0.885673105067123,0
"RNA_127682","RNA_128261",0.887425793971631,0
"RNA_127682","RNA_128262",0.88550310417854,0
"RNA_127683","RNA_127681",0.898504591949208,0
"RNA_127683","RNA_127682",0.890697295848004,0
"RNA_127683","RNA_127683",1,NA
"RNA_127683","RNA_127684",0.897531859681923,0
"RNA_127683","RNA_127685",0.889947886244005,0
