"gene_id","Sample","expression","condition"
"CSAG1","Naevi_9",-4.60517018598809,"naevi"
"CSAG1","Naevi_10",-4.60517018598809,"naevi"
"CSAG1","Naevi_11",-4.60517018598809,"naevi"
"CSAG1","Naevi_12",-4.60517018598809,"naevi"
"CSAG1","Naevi_13",-2.87990606846849,"naevi"
"CSAG1","Naevi_14",-4.60517018598809,"naevi"
"CSAG1","Naevi_15",-4.60517018598809,"naevi"
"CSAG1","Naevi_16",-4.60517018598809,"naevi"
"CSAG1","Naevi_17",-4.60517018598809,"naevi"
"CSAG1","Naevi_18",-4.60517018598809,"naevi"
"CSAG1","Naevi_19",-4.60517018598809,"naevi"
"CSAG1","Naevi_20",-4.60517018598809,"naevi"
"CSAG1","Naevi_21",-4.60517018598809,"naevi"
"CSAG1","Naevi_22",-4.60517018598809,"naevi"
"CSAG1","Naevi_23",-4.60517018598809,"naevi"
"MAGEA12","Mel_1",-4.60517018598809,"melanoma"
"MAGEA12","Mel_2",-4.60517018598809,"melanoma"
"MAGEA12","Mel_3",-4.60517018598809,"melanoma"
"MAGEA12","Mel_4",-4.60517018598809,"melanoma"
"MAGEA12","Mel_5",-0.897883787487575,"melanoma"
"MAGEA12","Mel_6",-4.60517018598809,"melanoma"
"MAGEA12","Mel_7",3.7027679969014,"melanoma"
"MAGEA12","Mel_8",-4.60517018598809,"melanoma"
"MAGEA12","Mel_9",-0.122477878768912,"melanoma"
"MAGEA12","Mel_10",-4.60517018598809,"melanoma"
"MAGEA12","Mel_11",-4.60517018598809,"melanoma"
"MAGEA12","Mel_12",6.29388631138086,"melanoma"
"MAGEA12","Mel_13",4.77348838766313,"melanoma"
"MAGEA12","Mel_14",5.99629319230465,"melanoma"
"MAGEA12","Mel_15",6.49917464102314,"melanoma"
"MAGEA12","Mel_16",6.86114430500697,"melanoma"
"MAGEA12","Mel_17",-0.522576350704264,"melanoma"
"MAGEA12","Mel_18",6.86443538145476,"melanoma"
"MAGEA12","Mel_19",2.17964550389634,"melanoma"
"MAGEA12","Mel_20",-4.60517018598809,"melanoma"
"MAGEA12","Mel_21",-4.60517018598809,"melanoma"
"MAGEA12","Mel_22",-4.60517018598809,"melanoma"
"MAGEA12","Mel_23",2.45385436309313,"melanoma"
"MAGEA12","Mel_24",2.79227690780153,"melanoma"
"MAGEA12","Mel_25",-4.60517018598809,"melanoma"
"MAGEA12","Mel_26",0.431602790493269,"melanoma"
"MAGEA12","Mel_27",-4.60517018598809,"melanoma"
"MAGEA12","Mel_28",2.29424628158986,"melanoma"
"MAGEA12","Mel_29",-4.60517018598809,"melanoma"
"MAGEA12","Mel_30",4.30219209025175,"melanoma"
"MAGEA12","Mel_31",-4.60517018598809,"melanoma"
"MAGEA12","Mel_32",-4.60517018598809,"melanoma"
"MAGEA12","Mel_33",-4.60517018598809,"melanoma"
"MAGEA12","Mel_34",3.60311487292809,"melanoma"
"MAGEA12","Mel_35",-4.60517018598809,"melanoma"
"MAGEA12","Mel_36",1.42594043748379,"melanoma"
"MAGEA12","Mel_37",0.00230034813714886,"melanoma"
"MAGEA12","Mel_38",-4.60517018598809,"melanoma"
"MAGEA12","Mel_39",2.88988431597177,"melanoma"
"MAGEA12","Mel_40",-4.60517018598809,"melanoma"
"MAGEA12","Mel_41",5.55477809524751,"melanoma"
"MAGEA12","Mel_42",4.95157964367855,"melanoma"
"MAGEA12","Mel_43",3.53439531751225,"melanoma"
"MAGEA12","Mel_44",2.9951925273633,"melanoma"
"MAGEA12","Mel_45",6.33944032017486,"melanoma"
"MAGEA12","Mel_46",6.43001749558755,"melanoma"
"MAGEA12","Mel_47",0.997101563354097,"melanoma"
"MAGEA12","Mel_48",5.63506240945617,"melanoma"
"MAGEA12","Mel_49",-4.60517018598809,"melanoma"
"MAGEA12","Mel_50",3.56201536664528,"melanoma"
"MAGEA12","Mel_51",-4.60517018598809,"melanoma"
"MAGEA12","Mel_52",1.70876905110839,"melanoma"
"MAGEA12","Mel_53",-4.60517018598809,"melanoma"
"MAGEA12","Mel_54",3.2655201566188,"melanoma"
"MAGEA12","Mel_55",-0.270029641874885,"melanoma"
"MAGEA12","Mel_56",4.43797070883452,"melanoma"
"MAGEA12","Mel_57",-4.60517018598809,"melanoma"
"MAGEA12","Naevi_1",-4.60517018598809,"naevi"
"MAGEA12","Naevi_2",-4.60517018598809,"naevi"
"MAGEA12","Naevi_3",-4.60517018598809,"naevi"
"MAGEA12","Naevi_4",-4.60517018598809,"naevi"
"MAGEA12","Naevi_5",-4.60517018598809,"naevi"
"MAGEA12","Naevi_6",-4.60517018598809,"naevi"
"MAGEA12","Naevi_7",-4.60517018598809,"naevi"
"MAGEA12","Naevi_8",-4.60517018598809,"naevi"
"MAGEA12","Naevi_9",-4.60517018598809,"naevi"
"MAGEA12","Naevi_10",-4.60517018598809,"naevi"
"MAGEA12","Naevi_11",-4.60517018598809,"naevi"
"MAGEA12","Naevi_12",-4.60517018598809,"naevi"
"MAGEA12","Naevi_13",-4.60517018598809,"naevi"
"MAGEA12","Naevi_14",-4.60517018598809,"naevi"
"MAGEA12","Naevi_15",-4.60517018598809,"naevi"
"MAGEA12","Naevi_16",-4.60517018598809,"naevi"
"MAGEA12","Naevi_17",-4.60517018598809,"naevi"
"MAGEA12","Naevi_18",-4.60517018598809,"naevi"
"MAGEA12","Naevi_19",-4.60517018598809,"naevi"
"MAGEA12","Naevi_20",-4.60517018598809,"naevi"
"MAGEA12","Naevi_21",-4.60517018598809,"naevi"
"MAGEA12","Naevi_22",-4.60517018598809,"naevi"
"MAGEA12","Naevi_23",-1.46108553500501,"naevi"
"MAGEA2","Mel_1",-4.60517018598809,"melanoma"
"MAGEA2","Mel_2",-4.60517018598809,"melanoma"
"MAGEA2","Mel_3",-4.60517018598809,"melanoma"
"MAGEA2","Mel_4",-4.60517018598809,"melanoma"
"MAGEA2","Mel_5",-4.60517018598809,"melanoma"
"MAGEA2","Mel_6",-4.60517018598809,"melanoma"
"MAGEA2","Mel_7",3.9650753631661,"melanoma"
"MAGEA2","Mel_8",-4.60517018598809,"melanoma"
"MAGEA2","Mel_9",-0.804385519107879,"melanoma"
"MAGEA2","Mel_10",-4.60517018598809,"melanoma"
"MAGEA2","Mel_11",-4.60517018598809,"melanoma"
"MAGEA2","Mel_12",6.23374909782706,"melanoma"
"MAGEA2","Mel_13",4.20103449477352,"melanoma"
"MAGEA2","Mel_14",5.41236503559162,"melanoma"
"MAGEA2","Mel_15",6.30135218917658,"melanoma"
"MAGEA2","Mel_16",6.36215991819309,"melanoma"
"MAGEA2","Mel_17",-0.0185190473495411,"melanoma"
"MAGEA2","Mel_18",6.23278248176031,"melanoma"
"MAGEA2","Mel_19",1.48762850055072,"melanoma"
"MAGEA2","Mel_20",-4.60517018598809,"melanoma"
"MAGEA2","Mel_21",-4.60517018598809,"melanoma"
"MAGEA2","Mel_22",-4.60517018598809,"melanoma"
"MAGEA2","Mel_23",3.3696291921932,"melanoma"
"MAGEA2","Mel_24",2.50479908623101,"melanoma"
"MAGEA2","Mel_25",-4.60517018598809,"melanoma"
"MAGEA2","Mel_26",-4.60517018598809,"melanoma"
"MAGEA2","Mel_27",-4.60517018598809,"melanoma"
"MAGEA2","Mel_28",1.19764870936917,"melanoma"
"MAGEA2","Mel_29",-4.60517018598809,"melanoma"
"MAGEA2","Mel_30",2.91630381211149,"melanoma"
"MAGEA2","Mel_31",-4.60517018598809,"melanoma"
