"","PACE001","PACE003","PACE004","PACE005","PACE006","PACE007","PACE010","PACE011","PACE013","PACE014"
"WWC3",348.587799908626,446.160393608438,798.802015563007,464.181707151653,587.634252962289,465.21965687183,582.694269716014,733.874280516656,558.623948062533,1047.58800033506
"WWOX",658.443622049627,386.020829179331,414.985216557816,636.952214765608,219.038018138248,228.159901283228,251.219789416846,467.360116331021,468.093182610188,566.883468860554
"WWP1",1391.12353482054,1080.25692605783,752.494652341963,506.447453649488,913.247220786083,1161.83552568339,941.57968316865,543.271837770306,520.727348570854,747.147668163492
"WWP2",271.123844373376,513.441531313501,369.568379552562,629.537171520373,430.421481879192,250.004998214601,213.353139493497,426.568998545574,639.32966920222,217.423924597842
"WWTR1",14.5244916628594,12.0279128858214,0,0,28.2629700823546,19.4178639389981,34.1930197069048,2.56087734975902,53.3359548401413,37.9503577479869
"XAB2",48.4149722095314,13.5314019965491,204.82102963154,163.13095139515,154.857523576235,6.06808248093691,142.423817622149,12.8043867487951,26.6679774200707,25.3002384986579
"XAF1",27.4351509187345,129.675935800262,44.5263107894653,115.674674625652,168.400196740696,82.1213829086796,3.39104327671783,50.4858677523921,152.288186846193,22.1377086863257
"XBP1",62.9394638723908,1271.57591539793,268.048390952581,679.959465587965,978.016527224812,310.68582302397,30.8019764301869,137.555697644199,1460.42265818861,43.4847849195683
"XIAP",41.9596425815939,115.392789248349,32.9494699842043,65.2523805580599,85.9665340004952,82.9304605728045,16.1074555644097,25.060014065499,92.6361320907718,29.2534007640732
"XK",3934.52340822792,2714.17371714114,4312.81846306761,2006.51070216034,4808.23778526058,6108.1318253111,4248.12946490826,5169.13093048858,2059.75036126072,7027.14124300224
"XKR3",235.61953141972,9.39680694204797,0,9.63955621880431,15.8979206713245,40.8584220383086,29.3890417315545,0,44.2126994069593,27.6721358579071
"XKR6",58.0979666514377,59.0119475960612,84.599990499984,52.646807041162,127.183365370596,97.0893196949906,118.686514685124,227.552244507159,134.041675979829,250.63048762733
"XKR8",1.61383240698438,141.703848686083,0,86.0145016447153,167.81138486398,45.3083491909956,25.4328245753837,55.6076224519101,169.832908833082,26.8815034048241
"XPA",24.2074861047657,235.671918106563,48.9789418684118,43.0072508223577,174.877127384569,49.3537375116202,6.21691267398269,18.1090612590102,104.566543041856,3.9531622654153
"XPC",32.2766481396876,205.60213589201,0.890526215789305,162.389447070626,150.735840439225,62.7035189696815,22.8895421178453,46.8274715384507,296.15490713868,3.16252981233224
"XPNPEP1",6728.06730471788,5641.09114345024,6343.21823506722,9519.43251823151,6390.96410987243,5581.42226596577,8610.98922734547,8335.10701403352,7808.1030730449,11638.9003418357
"XPNPEP3",159.769408291454,38.7148446012376,22.2631553947326,29.6601729809363,73.0126727127494,33.9812618932467,29.3890417315545,47.742070591936,48.4234326838125,58.5068015281465
"XPO1",519.654035048971,741.596003866426,326.823121194675,279.547130345325,663.002173181902,492.323758620015,333.452588877253,258.465692514964,369.140950604136,473.588839396753
"XPO4",61.3256314654065,171.397758622955,14.2484194526289,54.8713200147322,67.1245539455922,63.5125966338064,7.06467349316214,11.5239480739156,47.0198549248614,30.0440332171563
"XPO5",24.2074861047657,66.5293931496996,53.4315729473583,35.5922075771236,54.1706926578463,46.521965687183,11.8686514685124,5.48759432091219,5.61431103580435,7.11569207774754
"XPO6",209.798212907969,718.667794927829,299.216808505207,622.863632599663,801.372964210096,274.277328138349,205.723292120882,408.277017475867,503.182626583965,218.214557050925
"XPO7",5433.77371431641,3303.1655762687,4616.48790265176,4058.25316811661,3106.57146155214,3803.47409905126,4468.54727789492,4045.45453337646,3640.88070671912,5231.61494205061
"XPOT",137.175754593672,357.078663797823,21.3726291789433,114.191665976605,257.31079012477,218.046430481666,101.448711361808,115.788240171247,156.498920123046,49.0192120911497
"XPR1",724.610750735987,355.199302409413,463.964158426228,410.793395785968,472.227125126008,539.654801971323,364.819739186893,258.465692514964,402.826816818962,364.481560871291
"XRCC1",225.936536977813,277.017868651574,325.932594978886,370.010657937181,318.547225303205,283.581721275785,398.447585014345,354.864432752321,473.707493645992,346.29701445038
"XRCC4",1.61383240698438,36.4596109351461,38.2926272789401,18.5376081130852,61.236435178435,43.2856550306833,12.4338253479654,15.9140235306453,30.8787106969239,16.6032815147443
"XRCC5",1068.35705342366,1514.76527905813,624.258877268303,666.612387746544,1138.17335769149,778.332712888175,606.996746532491,534.30876704615,1162.86417329098,638.04038963803
"XRCC6",908.587645132206,1576.03246032029,1635.89665840495,1480.78413607325,1384.29672215866,1046.54195854559,710.988740351838,1304.76700970222,1859.74053061019,969.315387479832
"XRN1",819.826862748065,833.684711898496,389.159956299926,512.379488245675,683.610588866952,639.171354658688,477.289341198034,498.639403960221,604.240225228443,614.321416045538
"XRN2",243.688693454641,689.349757268639,317.917859036782,233.573862224874,481.64811515346,349.117012069904,126.033775118013,145.238329693476,494.059371150783,41.1128875603191
